filename,category,description
2021-03-06_CMDrcyhnacH.jpg,painting,sunflowers-in-vase
2021-03-06_CMDrfYCHlOP.jpg,painting,wildflower-meadow-painting
2021-03-06_CMDsAkjHOV6.jpg,other,art-brushes-studio
2021-03-06_CMDu7RPnutI.jpg,painting,small-paintings-collection
2021-03-06_CMDukYOHpvm.jpg,painting,blue-bottle-painting
2021-03-06_CMDuq2TnZJx.jpg,painting,lone-tree-landscape
2021-03-06_CMDvNKaHbnb_1.jpg,other,painted-stool-after
2021-03-06_CMDvNKaHbnb_2.jpg,other,wooden-stool-before
2021-03-06_CMDvUKInOAa_1.jpg,other,decorated-living-room
2021-03-06_CMDvUKInOAa_2.jpg,other,art-studio-easel
2021-03-06_CMDvUKInOAa_3.jpg,other,bedroom-with-paintings
2021-03-06_CMDvuSUnAnK.jpg,painting,colorful-village-buildings
2021-03-06_CMDwLCInNFQ.jpg,painting,purple-flowers-in-vase
2021-03-06_CMEW2lgnlS-.jpg,painting,wildflowers-by-lake
2021-03-06_CMEXIJYHEPS.jpg,painting,abstract-colorful-cityscape
2021-03-06_CMEXN74HvBH.jpg,painting,colorful-city-moonlight
2021-03-06_CMEXfDoH3LX.jpg,painting,tea-cup-red-shoes
2021-03-06_CMEYOfxHsYS.jpg,painting,cat-flowers-fairy-lights
2021-03-06_CMEYpH1H8Sl.jpg,other,paintings-on-orange-wall
2021-03-06_CMEYsOyn252.jpg,painting,grey-city-orange-accents
2021-03-06_CMEYwHtHPD-.jpg,painting,pink-flowers-in-pot
2021-03-06_CMEZ3KDHdmx.jpg,painting,woman-portrait-golden-hair
2021-03-06_CMEZmk2Hof9.jpg,artist,artist-with-brushes
2021-03-06_CMEa80wHmYE.jpg,painting,red-wildflowers-sunset
2021-03-06_CMEb6bWHk_v.jpg,painting,colorful-tall-buildings
2021-03-06_CMEbAGnnOvJ.jpg,painting,red-flowers-on-wall
2021-03-06_CMEgtaqHf-1.jpg,painting,colorful-city-buildings
2021-03-07_CMGqsNzncqF_1.jpg,painting,cityscape-painting-piano
2021-03-07_CMGqsNzncqF_2.jpg,painting,floral-lake-painting
2021-03-07_CMGqsNzncqF_3.jpg,painting,art-corner-room
2021-03-08_CMJkQqwH8Xo_1.jpg,painting,night-city-lights
2021-03-08_CMJkQqwH8Xo_2.jpg,painting,cityscape-on-easel
2021-03-08_CMJkYyNnUXQ.jpg,cushion,pomegranate-bird-pillow
2021-03-08_CMJkdIyHoVn.jpg,cushion,colorful-flowers-pillow
2021-03-08_CMJkgfcnFro.jpg,cushion,sunflowers-vase-pillow
2021-03-08_CMJkjybHd_o.jpg,cushion,red-poppies-pillow
2021-03-08_CMJkm_dn68d.jpg,cushion,red-cat-pillow
2021-03-08_CMJkpsNHmp-.jpg,cushion,pomegranate-vines-pillow
2021-03-08_CMJkscDnmGV.jpg,cushion,three-birds-pillow
2021-03-08_CMJkvidH6y7.jpg,cushion,teal-branches-pillow
2021-03-08_CMJllKkHttH.jpg,painting,pumpkin-vase-still-life
2021-03-08_CMJmIlmHzjR.jpg,painting,colorful-cityscape-sunset
2021-03-08_CMJnxFzH61B.jpg,painting,paintings-outdoor-display
2021-03-08_CMJozFwHXAJ.jpg,other,art-wall-flower-vase
2021-03-08_CMJrLY-Hm4s.jpg,painting,skyline-reflection-painting
2021-03-08_CMJrvoDHuEx.jpg,painting,stacked-teacups-painting
2021-03-08_CMJsTaunueT.jpg,artist,artist-portrait-gallery
2021-03-08_CMJugy1HEXN.jpg,painting,colorful-abstract-pour
2021-03-08_CMJukKEnMIx.jpg,painting,pink-black-fluid-art
2021-03-08_CMJusFcntK6.jpg,painting,flowers-in-blue-vase
2021-03-08_CMKGS0dn6p9.jpg,painting,red-flower-glass-vase
2021-03-10_CMOcZxyncYr_1.jpg,other,art-studio-closeup
2021-03-10_CMOcZxyncYr_2.jpg,other,art-studio-supplies
2021-03-10_CMOcgpDnkmU.jpg,painting,red-wildflower-purple-background
2021-03-12_CMUCWqFnJNv_1.jpg,artist,artist-in-park
2021-03-12_CMUCWqFnJNv_2.jpg,artist,artist-black-white-pose
2021-03-12_CMUCWqFnJNv_3.jpg,artist,artist-smiling-scarf
2021-03-20_CMqEHqUnznh.jpg,other,nowruz-table-paintings
2021-04-05_CNQ5SsnHodf_1.jpg,painting,night-city-spring-tree
2021-04-05_CNQ5SsnHodf_2.jpg,painting,tree-buildings-night
2021-04-29_COPgDgCHjj__1.jpg,painting,colorful-abstract-flowers
2021-04-29_COPgDgCHjj__2.jpg,painting,painting-on-blue-wall
2021-04-29_COPgDgCHjj__3.jpg,painting,colorful-floral-canvas
2021-05-05_COeRNdtHTKl_1.jpg,painting,crow-and-black-cat
2021-05-05_COeRNdtHTKl_2.jpg,painting,black-crow-portrait
2021-05-05_COeRNdtHTKl_3.jpg,painting,crow-on-cat-head
2021-05-05_COeS0z9nWJH.jpg,painting,crow-cat-on-wall
2021-06-06_CPzAhLyHDun.jpg,artist,artist-with-still-life
2021-06-08_CP4NI_7nvWe_1.jpg,other,colorful-dining-nook
2021-06-08_CP4NI_7nvWe_2.jpg,other,art-wall-before-change
2021-06-08_CP4NI_7nvWe_3.jpg,other,lumber-store-aisle
2021-06-08_CP4NI_7nvWe_4.jpg,artist,artist-building-shelf
2021-06-08_CP4NI_7nvWe_5.jpg,other,wood-staining-before-after
2021-06-08_CP4NI_7nvWe_6.jpg,other,dining-area-before-design
2021-06-15_CQIK3WAn4wa.jpg,painting,red-flowers-in-vase
2021-06-22_CQaKAVRnwEl.jpg,painting,woman-portrait-orange-hair
2021-07-04_CQ5bnsxnjvI.jpg,painting,pink-flamingo-colorful
2021-07-06_CQ9yNP3n_AC.jpg,artist,artist-holding-flamingo-painting
2021-07-13_CRP0rP5HNHV.jpg,other,newspaper-article-artist
2021-07-17_CRa0xR_HK24.jpg,painting,white-daisies-cluster
2021-08-05_CSLwpFTL-dx.jpg,painting,red-haired-woman-portrait
2021-08-05_CSLwwr2L_az.jpg,painting,woman-eyes-closeup
2021-08-05_CSLyNM3LzWq.jpg,painting,red-hair-portrait-wall
2021-08-30_CTMG8JjLQTC.jpg,painting,colorful-pottery-vases
2021-08-30_CTMHK5XrWbg.jpg,artist,artist-with-painting
2021-08-30_CTMJEmWL_Nw.jpg,painting,colorful-vases-on-wall
2021-09-05_CTbQ3yarmcT.jpg,painting,woman-back-golden
2021-09-05_CTbQOyzLWTn.jpg,painting,woman-back-amber
2021-09-05_CTbQoasLgPa.jpg,painting,woman-back-displayed
2021-09-28_CUW2fQMLNzi.jpg,other,art-exhibition-wall
2021-09-28_CUW4BDSLx1A.jpg,artist,artist-at-exhibition
2021-10-12_CU6gs24r8ni.jpg,painting,girl-portrait-held
2021-10-12_CU6i7LIrP2E.jpg,painting,girl-portrait-vintage
2021-10-12_CU6iqSMrFIc.jpg,painting,colorful-girl-portrait
2021-10-18_CVJnmLIJbL0.jpg,painting,pink-flower-pot
2021-10-18_CVMEIfsPoXC.jpg,painting,pink-flower-framed
2021-10-18_CVMETerPvAY.jpg,painting,pink-flower-closeup
2021-10-22_CVWX3AgJxGe.jpg,painting,orange-fox-sitting
2021-10-23_CVW4KQnL4cC.jpg,painting,fox-painting-framed
2021-10-23_CVW4P4lLr9P.jpg,painting,fox-closeup-detail
2021-12-16_CXiCsd_LMss.jpg,painting,brown-owl-perched
2021-12-16_CXiM9dvrPEy.jpg,painting,owl-painting-framed
2021-12-16_CXiN0iwr2Qs.jpg,painting,owl-face-closeup
2021-12-29_CYECwNGrlI4.jpg,painting,rainy-street-walkers
2021-12-30_CYGI6I6Lbfn.jpg,painting,street-walkers-framed
2021-12-30_CYGJHT5rQMX.jpg,painting,street-walkers-closeup
2022-01-05_CYXdx7cvr9n.jpg,painting,wine-bottle-glass
2022-01-15_CYu397opLIx_1.jpg,painting,wildflowers-mountain-lake
2022-01-15_CYu397opLIx_2.jpg,painting,floral-landscape-on-wall
2022-01-23_CZEJiTVr8CC_1.jpg,painting,woman-with-raven
2022-01-23_CZEJiTVr8CC_2.jpg,painting,black-raven-portrait
2022-01-23_CZEJiTVr8CC_3.jpg,painting,woman-colorful-portrait
2022-01-23_CZEJiTVr8CC_4.jpg,painting,abstract-dark-texture
2022-02-10_CZxz6raJgN2_1.jpg,painting,bridge-sunset-reflection
2022-02-10_CZxz6raJgN2_2.jpg,painting,bridge-sunset-displayed
2022-02-24_CaX685aBCaY_1.jpg,painting,coastal-lighthouse-painting
2022-02-24_CaX685aBCaY_2.jpg,painting,lighthouse-painting-on-wall
2022-04-11_CcOWhcWI_oX_1.jpg,painting,forest-lake-sunset
2022-04-11_CcOWhcWI_oX_2.jpg,painting,forest-lake-displayed
2022-05-17_Cdq8chgrj4R_1.jpg,artist,artist-drawing-sketch
2022-05-17_Cdq8chgrj4R_2.jpg,artist,art-class-teaching
2022-05-17_Cdq8chgrj4R_3.jpg,artist,artist-family-studio
2022-08-07_Cg8lJCsuEPU.jpg,painting,woman-back-purple
2022-09-21_CiyWOGdvlkC.jpg,painting,woman-urban-abstract
2022-10-02_CjMechwLIHZ.jpg,painting,dancer-castle-orange
2022-12-08_Cl4tQ2gvG5Y.jpg,painting,woman-watching-cityscape
2023-03-18_Cp6gdf3rMWt.jpg,painting,ocean-sunset-dramatic
2023-05-01_CrrhgyePzFl_1.jpg,painting,bridge-sunset-panoramic
2023-05-01_CrrhgyePzFl_2.jpg,other,customer-testimonial-message
2023-07-20_Cu5_Y5xO3Kq.jpg,painting,red-roses-glass-vase
2023-07-25_CvIOAxERgIY_1.jpg,painting,pink-rose-green-background
2023-07-25_CvIOAxERgIY_2.jpg,painting,red-roses-blue-vase
2023-07-25_CvIOAxERgIY_3.jpg,painting,dancer-azadi-tower
2023-08-12_Cv3Fa7xSsha_1.jpg,painting,woman-holding-flowers
2023-08-12_Cv3Fa7xSsha_2.jpg,painting,painting-displayed-home-decor
2023-09-11_CxEboSXv3P2_1.jpg,painting,gastown-clock-night
2023-09-11_CxEboSXv3P2_2.jpg,painting,painting-on-balcony-easel
2023-09-25_Cxobgd4PSou.jpg,painting,woman-bare-back-flowers
2023-11-16_CzucYpOPp4g_1.jpg,painting,autumn-lake-city-fountain
2023-11-16_CzucYpOPp4g_2.jpg,painting,autumn-painting-balcony-display
2023-12-12_C0vm4E7utoJ.jpg,painting,persian-calligraphy-gold
2024-08-09_C-bp8BuPV-W_1.jpg,painting,woman-blue-flowing-hair
2024-08-09_C-bp8BuPV-W_2.jpg,painting,blue-hair-painting-easel
2025-02-10_DF37ArpvloO_1.jpg,artist,artist-with-figure-painting
2025-02-10_DF37ArpvloO_2.jpg,painting,seated-figure-butterflies
2025-04-30_DJFePU3T9Ks_1.jpg,painting,woman-calligraphy-purple-dress
2025-04-30_DJFePU3T9Ks_2.jpg,artist,artist-holding-portrait-painting
2025-05-18_DJxz2sNp3tK_1.jpg,painting,soccer-player-framed
2025-05-18_DJxz2sNp3tK_2.jpg,painting,stylish-woman-red-framed
2025-09-27_DPHi5SwEkHM_1.jpg,cushion,birds-autumn-leaves-pillow
2025-09-27_DPHi5SwEkHM_2.jpg,cushion,woman-sun-botanical-pillow
2025-09-27_DPHi5SwEkHM_3.jpg,cushion,colorful-cats-bubbles-pillow
2025-09-27_DPHi5SwEkHM_4.jpg,cushion,woman-tropical-leaves-pillow
2025-12-12_DSJUSWNmJiS.jpg,painting,woman-persian-calligraphy-painting
2026-03-05_DVgfbKrDab-_1.jpg,painting,red-roses-glass-vase-2
2026-03-05_DVgfbKrDab-_2.jpg,painting,rainy-walk-abstract
2026-03-05_DVgfbKrDab-_3.jpg,painting,three-flower-paintings
2026-03-08_DVnPVzZijO5.jpg,painting,iranian-flag-bearer
2026-03-18_DWB8LsVDY4N_1.jpg,painting,woman-back-portrait
2026-03-18_DWB8LsVDY4N_2.jpg,painting,red-haired-woman-face
2026-03-18_DWB8LsVDY4N_3.jpg,painting,blue-haired-woman
2026-03-18_DWB8LsVDY4N_4.jpg,artist,artist-with-painting
